Please,Please_start,HASHEDGE,Indirect_(btw),Hedges,Factuality,Deference,Gratitude,Apologizing,1st_person_pl.,1st_person,1st_person_start,2nd_person,2nd_person_start,Indirect_(greeting),Direct_question,Direct_start,HASPOSITIVE,HASNEGATIVE,SUBJUNCTIVE,INDICATIVE,n_turn,text
0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,"Hey, AI! I need to find some solid sources for my sociology paper. Can you help me search?"
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,"I'm looking at the impact of social media on friendship dynamics. Like, how it changes the way people form and maintain friendships."
0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,3,Let's start broad! But actually… can you throw in something about the effects of “likes” and “follows”? I think that's a big part of it.
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,4,Yes! That first study sounds super relevant. Could you summarize it for me?
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,That sounds perfect for my paper. Anything on how online friendships compare to in-person ones?
0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,6,"Okay, that's really helpful. What about sources that show positive impacts of social media on friendships? I want to keep it balanced."
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7,"Oh, that's a good angle. I'll definitely add that."
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,8,"Yes, please! You've been super helpful."
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,9,"Hmm… well, actually, yeah! Could you also search for any studies that mention “friendship jealousy” with social media?"
0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,10,"That's perfect too. You're saving me so much time, AI. Thank you!"
