n_turn,emotion,score,z-score
1,anger,0.018396816682070494,-0.450206864379074
1,fear,0.060956256987992674,-0.3209792958225945
1,joy,0.9092944264411926,2.2549163965095427
1,love,0.002206585311796516,-0.4993669148710023
1,sadness,0.00553312519332394,-0.4892662026082019
1,surprise,0.0036128626234130934,-0.49509689166604337
2,anger,0.03847803175449371,-0.3892322232932071
2,fear,0.009390694089233875,-0.4775530727978887
2,joy,0.7361577153205872,1.7292037450941513
2,love,0.20835064724087715,0.12656932169516572
2,sadness,0.005100250826217234,-0.49058058319097103
2,surprise,0.002522612805478275,-0.49840732836535434
3,anger,0.12266550865024328,-0.1336052022623728
3,fear,0.018986317445524037,-0.4484169030972596
3,joy,0.8393087387084961,2.0424117161274817
3,love,0.004309226293116808,-0.4929824516447455
3,sadness,0.011742089642211795,-0.4704132906992136
3,surprise,0.00298810753156431,-0.49699389926018844
4,anger,0.23710348371241707,0.21387449111493675
4,fear,0.03559609232615912,-0.3979829498622994
4,joy,0.6991612166166306,1.6168675033990279
4,love,0.003022286415216513,-0.4968901184303984
4,sadness,0.02038298205297906,-0.44417606792619213
4,surprise,0.004733873385703191,-0.4916930523745704
5,anger,0.21533511218149215,0.14777696482805852
5,fear,0.04222268547164276,-0.37786194935457595
5,joy,0.7247575521469116,1.694588267129884
5,love,0.004510415266850032,-0.4923715610477585
5,sadness,0.008813605541945435,-0.47930534560203786
5,surprise,0.00436057336628437,-0.4928265412904213
6,anger,0.0006367335930311432,-0.5041336157287208
6,fear,0.00029034630764120567,-0.5051853867658411
6,joy,0.9973869721094767,2.5224007760698366
6,love,0.0007296144225013753,-0.5038515921947723
6,sadness,0.0006593783424856762,-0.5040648571667767
6,surprise,0.0002970051815888534,-0.505165167747842
7,anger,0.009300146019086242,-0.47782801313682527
7,fear,0.002021657070145011,-0.499928431348998
7,joy,0.9845191240310669,2.4833288167636502
7,love,0.0011544128647074103,-0.5025617333663134
7,sadness,0.0022714633378200233,-0.4991699191047165
7,surprise,0.000733188062440604,-0.5038407411874065
8,anger,0.0003707915311679244,-0.5049411227303272
8,fear,0.00026659094146452844,-0.5052575176065927
8,joy,0.9984155893325806,2.5255240714365415
8,love,0.0003049783408641815,-0.5051409580312796
8,sadness,0.0003052829997614026,-0.5051400329644026
8,surprise,0.0003367996250744909,-0.5050443358210887
9,anger,0.9253538250923157,2.30367918627478
9,fear,0.04877625033259392,-0.35796269207416354
9,joy,0.00910703931003809,-0.47841436272936827
9,love,0.010029802098870277,-0.4756124839758409
9,sadness,0.005417239852249622,-0.4896180770865956
9,surprise,0.0013159054797142744,-0.502071376871323
10,anger,0.0014078275513990472,-0.5017922645114068
10,fear,0.00036824739557535696,-0.5049488477486626
10,joy,0.9939487179120382,2.5119608542376817
10,love,0.0026109074048387506,-0.49813923046956426
10,sadness,0.001337444797779123,-0.5020059748434327
10,surprise,0.00032681089457279694,-0.5050746656221017
